time,value,run
11.604012,0,11
11.605012,1,11
11.606024,0,11
11.607016,0,11
11.608012,0,11
11.609016,0,11
11.610016,0,11
11.611016,1,11
11.612012,0,11
11.613012,0,11
11.614012,0,11
11.615012,0,11
11.616012,0,11
11.617016,0,11
11.618012,0,11
11.619012,0,11
11.620012,0,11
11.621012,0,11
11.622012,0,11
11.623012,0,11
11.624012,0,11
11.625012,0,11
11.626012,0,11
11.627012,0,11
11.628012,0,11
11.629012,0,11
11.630012,0,11
11.631012,0,11
11.632012,0,11
11.633012,0,11
11.634012,0,11
11.635012,0,11
11.636012,0,11
11.637012,0,11
11.638012,0,11
11.639012,0,11
11.640012,0,11
11.641012,0,11
11.642012,0,11
11.643012,0,11
11.644012,0,11
11.645012,0,11
11.646012,0,11
11.647012,0,11
11.648012,0,11
11.649016,0,11
11.650016,0,11
11.651016,0,11
11.652012,0,11
11.653016,0,11
11.654012,0,11
11.655012,0,11
11.656012,0,11
11.657012,0,11
11.658012,0,11
11.659012,0,11
11.660012,0,11
11.661012,0,11
11.662012,0,11
11.663012,0,11
11.664012,0,11
11.665012,0,11
11.666012,0,11
11.667012,0,11
11.668016,0,11
11.669012,0,11
11.670012,0,11
11.671012,0,11
11.672012,0,11
11.673012,0,11
11.674012,0,11
11.675012,0,11
11.676012,0,11
11.677012,0,11
11.678012,0,11
11.679012,0,11
11.680012,0,11
11.681016,0,11
11.682012,0,11
11.683012,0,11
11.684012,0,11
11.685016,0,11
11.686012,0,11
11.687012,0,11
11.688012,0,11
11.689012,0,11
11.690012,0,11
11.69102,1,11
11.692016,0,11
11.693016,0,11
11.694012,0,11
11.695012,0,11
11.696012,0,11
11.697012,1,11
11.698012,2,11
11.699012,0,11
11.700012,0,11
11.701012,0,11
11.702012,0,11
11.703012,0,11
11.704012,0,11
11.705012,0,11
11.706012,0,11
11.707012,0,11
11.708012,0,11
11.709012,0,11
11.710012,0,11
11.711012,0,11
11.712012,0,11
11.713012,0,11
11.714012,0,11
11.715012,0,11
11.716012,1,11
11.717012,1,11
11.718012,0,11
11.719012,0,11
11.720012,0,11
11.721012,0,11
11.722012,0,11
11.723012,0,11
11.724012,0,11
11.725012,0,11
11.726012,0,11
11.727012,0,11
11.728012,0,11
11.729012,0,11
11.730012,0,11
11.731012,0,11
11.732012,0,11
11.733012,0,11
11.734012,0,11
11.735012,0,11
11.736012,0,11
11.737016,0,11
11.738012,0,11
11.739016,0,11
11.740012,0,11
11.741012,1,11
11.742012,0,11
11.743012,0,11
11.744012,0,11
11.745012,0,11
11.746012,0,11
11.747012,0,11
11.748012,0,11
11.749012,0,11
11.750012,0,11
11.751012,0,11
11.752012,0,11
11.753016,0,11
11.754012,0,11
11.755012,0,11
11.756012,0,11
11.757012,0,11
11.758012,0,11
11.759012,0,11
11.760012,0,11
11.761012,0,11
11.762012,0,11
11.763012,0,11
11.764016,0,11
11.765012,0,11
11.766012,0,11
11.767012,0,11
11.768012,0,11
11.769012,0,11
11.770012,0,11
11.771012,0,11
11.772012,0,11
11.773012,1,11
11.774012,0,11
11.775016,0,11
11.776016,0,11
11.777016,0,11
11.778016,0,11
11.779016,0,11
11.780012,0,11
11.781016,0,11
11.782012,0,11
11.783012,0,11
11.784012,0,11
11.785012,0,11
11.786012,0,11
11.787012,0,11
11.788012,0,11
11.789012,0,11
11.790012,0,11
11.791012,0,11
11.792012,2,11
11.793012,0,11
11.794012,0,11
11.795012,0,11
11.796016,0,11
11.797012,0,11
11.798012,0,11
11.799012,0,11
11.800012,0,11
11.801012,0,11
11.802012,0,11
11.803012,0,11
11.804012,0,11
11.805012,0,11
11.806012,0,11
11.807012,0,11
11.808012,0,11
11.809016,0,11
11.810012,0,11
11.811012,0,11
11.812012,0,11
11.813012,0,11
11.814012,0,11
11.815012,0,11
11.816012,0,11
11.817012,0,11
11.818012,0,11
11.819024,0,11
11.820016,0,11
11.821016,0,11
11.822016,0,11
11.823012,0,11
11.824012,0,11
11.825012,0,11
11.826012,0,11
11.827012,0,11
11.828012,0,11
11.829012,0,11
11.830012,0,11
11.831012,0,11
11.832012,0,11
11.833012,0,11
11.834012,0,11
11.835012,0,11
11.836012,0,11
11.837012,0,11
11.838012,0,11
11.839012,0,11
11.840012,0,11
11.841016,0,11
11.842012,0,11
11.843012,0,11
11.844012,0,11
11.845012,0,11
11.846012,0,11
11.847012,0,11
11.848012,0,11
11.849012,0,11
11.850012,0,11
11.851012,0,11
11.852012,0,11
11.853012,0,11
11.854012,0,11
11.855012,0,11
11.856012,0,11
11.857012,0,11
11.858012,0,11
11.859012,0,11
11.860012,0,11
11.861012,0,11
11.862012,0,11
11.863012,0,11
11.864012,0,11
11.865016,0,11
11.866012,0,11
11.867016,0,11
11.868012,0,11
11.869012,0,11
11.870012,0,11
11.871012,0,11
11.872012,0,11
11.873012,0,11
11.874012,0,11
11.875012,0,11
11.876012,0,11
11.877012,0,11
11.878012,0,11
11.879012,0,11
11.880012,0,11
11.881012,0,11
11.882012,0,11
11.883012,0,11
11.884012,0,11
11.885012,0,11
11.886012,0,11
11.887012,0,11
11.888012,0,11
11.889012,0,11
11.890012,0,11
11.891012,0,11
11.892012,0,11
11.893012,0,11
11.894012,0,11
11.895012,0,11
11.896012,0,11
11.897012,1,11
11.898012,2,11
11.899012,1,11
11.900012,0,11
11.901012,0,11
11.902012,0,11
11.903012,0,11
11.904012,0,11
11.905016,0,11
11.906016,0,11
11.907016,0,11
11.908012,0,11
11.909016,0,11
11.910012,0,11
11.911012,0,11
11.912012,0,11
11.913012,2,11
11.914012,0,11
11.915012,0,11
11.916012,0,11
11.917012,0,11
11.918012,0,11
11.919012,0,11
11.920012,0,11
11.921016,0,11
11.922012,0,11
11.923012,0,11
11.924016,0,11
11.925012,0,11
11.926012,0,11
11.927012,0,11
11.928012,0,11
11.929012,0,11
